2025-05-17 15:59:57.484 [JavaFX Application Thread] INFO  org.rssreader.controller.LoginController - User 'peti' logged in
2025-05-18 12:04:47.318 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1064-42000: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'FROM UserArticle WHERE user = 'atix' AND article_id = 30' at line 1
2025-05-18 12:04:47.338 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1064-42000: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'FROM UserArticle WHERE user = 'atix' AND article_id = 31' at line 1
2025-05-18 12:04:47.374 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1064-42000: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'FROM UserArticle WHERE user = 'atix' AND article_id = 32' at line 1
2025-05-18 12:04:47.391 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1064-42000: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'FROM UserArticle WHERE user = 'atix' AND article_id = 33' at line 1
2025-05-18 12:04:47.404 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1064-42000: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'FROM UserArticle WHERE user = 'atix' AND article_id = 34' at line 1
2025-05-18 12:04:47.427 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1064-42000: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'FROM UserArticle WHERE user = 'atix' AND article_id = 35' at line 1
2025-05-18 12:04:47.445 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1064-42000: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'FROM UserArticle WHERE user = 'atix' AND article_id = 36' at line 1
2025-05-18 12:04:47.456 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1064-42000: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'FROM UserArticle WHERE user = 'atix' AND article_id = 37' at line 1
2025-05-18 12:04:47.489 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1064-42000: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'FROM UserArticle WHERE user = 'atix' AND article_id = 38' at line 1
2025-05-18 12:04:47.513 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1064-42000: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'FROM UserArticle WHERE user = 'atix' AND article_id = 39' at line 1
2025-05-18 12:04:47.527 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1064-42000: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'FROM UserArticle WHERE user = 'atix' AND article_id = 40' at line 1
2025-05-18 12:06:40.008 [JavaFX Application Thread] INFO  org.rssreader.controller.LoginController - User 'atix' logged in
2025-05-18 12:06:42.665 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:06:42.677 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:06:42.688 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:06:42.713 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:06:42.728 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:06:42.742 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:06:42.757 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:06:42.773 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:06:42.788 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:06:42.805 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:06:42.824 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:06:42.842 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:06:42.855 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:06:42.867 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:06:42.890 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:06:42.912 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:06:42.926 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:06:42.943 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:06:42.965 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:06:42.986 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:07:21.888 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:07:21.900 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:07:21.912 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:07:21.946 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:07:21.978 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:07:22.015 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:07:22.036 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:07:22.058 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:07:22.072 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:07:22.087 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:07:22.111 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:07:22.130 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:07:22.160 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:07:22.201 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:07:22.219 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:07:22.260 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:07:22.284 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:07:22.355 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:07:22.365 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:07:22.386 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1054-42S22: Unknown column 'is_favourite' in 'field list'
2025-05-18 12:07:49.038 [JavaFX Application Thread] INFO  org.rssreader.controller.LoginController - User 'atix' logged in
2025-05-18 12:08:34.329 [JavaFX Application Thread] INFO  org.rssreader.controller.FeedController - User 'atix' added new feed with URL 'https://prohardver.hu/hirfolyam/anyagok/rss.xml'
2025-05-18 14:09:48.788 [JavaFX Application Thread] WARN  org.rssreader.controller.LoginController - Failed login attempt for username 'atix'
2025-05-18 14:09:53.243 [JavaFX Application Thread] INFO  org.rssreader.controller.LoginController - User 'atix' logged in
2025-05-18 14:17:28.049 [JavaFX Application Thread] INFO  org.rssreader.controller.LoginController - User 'atix' logged in
2025-05-18 14:32:26.760 [JavaFX Application Thread] INFO  org.rssreader.controller.LoginController - User 'atix' logged in
2025-05-18 14:38:35.788 [JavaFX Application Thread] INFO  org.rssreader.controller.LoginController - User 'atix' logged in
2025-05-18 14:58:03.320 [JavaFX Application Thread] INFO  org.rssreader.controller.LoginController - User 'atix' logged in
2025-05-18 15:05:43.572 [JavaFX Application Thread] INFO  org.rssreader.controller.LoginController - User 'atix' logged in
